SiteName,LAT,LONG
ABUR,34.400275,-119.7445915
AQUE,34.46774988,-120.11905
BULL,34.45850533,-120.33349
CARP,34.3916319,-119.5416933
Goleta Bay,34.4137165,-119.8221
IVEE,34.402783,-119.85755
MOHK,34.3940708,-119.72957
NAPL,34.4221216,-119.95154
Diablo,34.05865,-119.75763
Twin Harbor West,34.0444335,-119.71513
